ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
206674_at	fms related tyrosine kinase 3(FLT3)	Homo sapiens		h_erythPathway:Erythrocyte Differentiation Pathway,		GO:0001776~leukocyte homeostasis,GO:0002318~myeloid progenitor cell differentiation,GO:0002328~pro-B cell differentiation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0010243~response to organonitrogen compound,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0019221~cytokine-mediated signaling pathway,GO:0030097~hemopoiesis,GO:0030154~cell differentiation,GO:0030183~B cell differentiation,GO:0031100~organ regeneration,GO:0035726~common myeloid progenitor cell proliferation,GO:0038084~vascular endothelial growth factor signaling pathway,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0042981~regulation of apoptotic process,GO:0043406~positive regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0046651~lymphocyte proliferation,GO:0046777~protein autophosphorylation,GO:0071345~cellular response to cytokine stimulus,GO:0071385~cellular response to glucocorticoid stimulus,GO:0097028~dendritic cell differentiation,	GO:0005634~nucleus,GO:0005788~endoplasmic reticulum lumen,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0043234~protein complex,	GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0004896~cytokine receptor activity,GO:0005021~vascular endothelial growth factor-activated receptor activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0032403~protein complex binding,GO:0035259~glucocorticoid receptor binding,GO:0042803~protein homodimerization activity,	IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001824:Tyrosine-protein kinase, receptor class III, conserved site,IPR007110:Immunoglobulin-like domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR013151:Immunoglobulin,IPR013783:Immunoglobulin-like fold,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04640:Hematopoietic cell lineage,hsa05200:Pathways in cancer,hsa05202:Transcriptional misregulation in cancer,hsa05221:Acute myeloid leukemia,hsa05230:Central carbon metabolism in cancer,	601626~Leukemia, acute myeloid, reduced survival in, somatic,601626~Leukemia, acute myeloid, somatic,613065~Leukemia, acute lymphoblastic, somatic,		SM00219:TyrKc,	3D-structure,Alternative splicing,ATP-binding,Complete proteome,Disease mutation,Disulfide bond,Endoplasmic reticulum,Glycoprotein,Immunoglobulin domain,Kinase,Membrane,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Receptor,Reference proteome,Signal,Transferase,Transmembrane,Transmembrane helix,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:FL cytokine receptor,domain:Ig-like C2-type,domain:Protein kinase,glycosylation site:N-linked (GlcNAc...),helix,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,signal peptide,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
210608_s_at	fucosyltransferase 2(FUT2)	Homo sapiens				GO:0005975~carbohydrate metabolic process,GO:0006486~protein glycosylation,GO:0036065~fucosylation,GO:0042355~L-fucose catabolic process,	GO:0005794~Golgi apparatus,GO:0009536~plastid,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,GO:0070062~extracellular exosome,	GO:0008107~galactoside 2-alpha-L-fucosyltransferase activity,GO:0008417~fucosyltransferase activity,	IPR002516:Glycosyl transferase, family 11,	hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series,hsa00603:Glycosphingolipid biosynthesis - globo series,hsa01100:Metabolic pathways,	612542~Vitamin B12 plasma level QTL1,Bombay phenotype~Bombay phenotype,Norwalk virus infection, resistance to~Norwalk virus infection, resistance to,			Alternative initiation,Blood group antigen,Complete proteome,Glycoprotein,Glycosyltransferase,Golgi apparatus,Membrane,Plastid,Polymorphism,Proteomics identification,Reference proteome,Signal,Signal-anchor,Transferase,Transmembrane,Transmembrane helix,	chain:Galactoside 2-alpha-L-fucosyltransferase 2,glycosylation site:N-linked (GlcNAc...),sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
202862_at	fumarylacetoacetate hydrolase(FAH)	Homo sapiens				GO:0006527~arginine catabolic process,GO:0006559~L-phenylalanine catabolic process,GO:0006572~tyrosine catabolic process,GO:0009072~aromatic amino acid family metabolic process,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0004334~fumarylacetoacetase activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR005959:Fumarylacetoacetase,IPR011234:Fumarylacetoacetase, C-terminal-related,IPR015377:Fumarylacetoacetase, N-terminal,	hsa00350:Tyrosine metabolism,hsa01100:Metabolic pathways,	276700~Tyrosinemia, type I,			Acetylation,Alternative splicing,Calcium,Complete proteome,Direct protein sequencing,Disease mutation,Hydrolase,Magnesium,Metal-binding,Phenylalanine catabolism,Phosphoprotein,Proteomics identification,Reference proteome,Tyrosine catabolism,	active site:Proton acceptor,binding site:Substrate,chain:Fumarylacetoacetase,metal ion-binding site:Calcium,metal ion-binding site:Magnesium,modified residue,mutagenesis site,sequence variant,
214430_at	galactosidase alpha(GLA)	Homo sapiens				GO:0005975~carbohydrate metabolic process,GO:0006687~glycosphingolipid metabolic process,GO:0009311~oligosaccharide metabolic process,GO:0045019~negative regulation of nitric oxide biosynthetic process,GO:0046477~glycosylceramide catabolic process,GO:0046479~glycosphingolipid catabolic process,GO:0051001~negative regulation of nitric-oxide synthase activity,	GO:0005576~extracellular region,GO:0005737~cytoplasm,GO:0005764~lysosome,GO:0005794~Golgi apparatus,GO:0043202~lysosomal lumen,GO:0070062~extracellular exosome,	GO:0003824~catalytic activity,GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0004557~alpha-galactosidase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0016787~hydrolase activity,GO:0016936~galactoside binding,GO:0042803~protein homodimerization activity,GO:0052692~raffinose alpha-galactosidase activity,	IPR000111:Glycoside hydrolase, clan GH-D,IPR002241:Glycoside hydrolase, family 27,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013785:Aldolase-type TIM barrel,IPR017853:Glycoside hydrolase, superfamily,	hsa00052:Galactose metabolism,hsa00561:Glycerolipid metabolism,hsa00600:Sphingolipid metabolism,hsa00603:Glycosphingolipid biosynthesis - globo series,hsa04142:Lysosome,	301500~Fabry disease,301500~Fabry disease, cardiac variant,			3D-structure,Complete proteome,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Glycosidase,Hydrolase,Lysosome,Pharmaceutical,Proteomics identification,Reference proteome,RNA editing,Signal,	active site:Nucleophile,active site:Proton donor,chain:Alpha-galactosidase A,chain:alpha-galactosidase A subunit peptide,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,region of interest:Substrate binding,sequence variant,signal peptide,strand,turn,
206726_at	hematopoietic prostaglandin D synthase(HPGDS)	Homo sapiens		h_eicosanoidPathway:Eicosanoid Metabolism,		GO:0006693~prostaglandin metabolic process,GO:0007165~signal transduction,GO:0007626~locomotory behavior,GO:0019371~cyclooxygenase pathway,GO:1901687~glutathione derivative biosynthetic process,GO:2000255~negative regulation of male germ cell proliferation,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000287~magnesium ion binding,GO:0004364~glutathione transferase activity,GO:0004667~prostaglandin-D synthase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,	IPR004045:Glutathione S-transferase, N-terminal,IPR004046:Glutathione S-transferase, C-terminal,IPR010987:Glutathione S-transferase, C-terminal-like,IPR012336:Thioredoxin-like fold,	hsa00590:Arachidonic acid metabolism,hsa01100:Metabolic pathways,				3D-structure,Calcium,Complete proteome,Cytoplasm,Fatty acid biosynthesis,Fatty acid metabolism,Isomerase,Lipid biosynthesis,Lipid metabolism,Magnesium,Metal-binding,Prostaglandin biosynthesis,Prostaglandin metabolism,Reference proteome,Transferase,	active site:Nucleophile,chain:Hematopoietic prostaglandin D synthase,chain:Prostaglandin-H2 D-isomerase,disulfide bond,domain:GST C-terminal,domain:GST N-terminal,glycosylation site:N-linked (GlcNAc...),helix,sequence conflict,sequence variant,signal peptide,strand,turn,
206287_s_at	inter-alpha-trypsin inhibitor heavy chain family member 4(ITIH4)	Homo sapiens				GO:0002576~platelet degranulation,GO:0006953~acute-phase response,GO:0010951~negative regulation of endopeptidase activity,GO:0030212~hyaluronan metabolic process,GO:0034097~response to cytokine,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031089~platelet dense granule lumen,GO:0070062~extracellular exosome,GO:0072562~blood microparticle,	GO:0004866~endopeptidase inhibitor activity,GO:0004867~serine-type endopeptidase inhibitor activity,GO:0005515~protein binding,	IPR002035:von Willebrand factor, type A,IPR010600:Inter-alpha-trypsin inhibitor heavy chain, C-terminal,IPR013694:VIT domain,		143890~Hypercholesterolemia, susceptibility to,		SM00327:VWA,SM00609:VIT,	Acute phase,Alternative splicing,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Polymorphism,Protease inhibitor,Proteomics identification,Reference proteome,Secreted,Serine protease inhibitor,Signal,	chain:35 kDa inter-alpha-trypsin inhibitor heavy chain H4,chain:70 kDa inter-alpha-trypsin inhibitor heavy chain H4,disulfide bond,domain:VIT,domain:VWFA,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (GalNAc...),propeptide:Potentially active peptide,sequence conflict,sequence variant,signal peptide,splice variant,
212086_x_at	lamin A/C(LMNA)	Homo sapiens		h_caspasePathway:Caspase Cascade in Apoptosis,h_deathPathway:Induction of apoptosis through DR3 and DR4/5 Death Receptors ,h_fasPathway:FAS signaling pathway ( CD95 ),h_hivnefPathway:HIV-I Nef: negative effector of Fas and TNF,h_tnfr1Pathway:TNFR1 Signaling Pathway,		GO:0007077~mitotic nuclear envelope disassembly,GO:0007084~mitotic nuclear envelope reassembly,GO:0007517~muscle organ development,GO:0030334~regulation of cell migration,GO:0030951~establishment or maintenance of microtubule cytoskeleton polarity,GO:0034504~protein localization to nucleus,GO:0035105~sterol regulatory element binding protein import into nucleus,GO:0036498~IRE1-mediated unfolded protein response,GO:0055015~ventricular cardiac muscle cell development,GO:0071456~cellular response to hypoxia,GO:0072201~negative regulation of mesenchymal cell proliferation,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0090343~positive regulation of cell aging,GO:1900180~regulation of protein localization to nucleus,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005635~nuclear envelope,GO:0005638~lamin filament,GO:0005652~nuclear lamina,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005882~intermediate filament,GO:0016607~nuclear speck,GO:0031012~extracellular matrix,GO:0031965~nuclear membrane,GO:0048471~perinuclear region of cytoplasm,	GO:0005198~structural molecule activity,GO:0005515~protein binding,	IPR001322:Lamin Tail Domain,IPR001664:Intermediate filament protein,IPR018039:Intermediate filament protein, conserved site,	hsa05410:Hypertrophic cardiomyopathy (HCM),hsa05412:Arrhythmogenic right ventricular cardiomyopathy (ARVC),hsa05414:Dilated cardiomyopathy,	115200~Cardiomyopathy, dilated, 1A,151660~Lipodystrophy, familial partial, 2,159001~Muscular dystrophy, limb-girdle, type 1B,176670~Hutchinson-Gilford progeria,181350~Emery-Dreifuss muscular dystrophy 2, AD,212112~Malouf syndrome,248370~Mandibuloacral dysplasia,275210~Restrictive dermopathy, lethal,605588~Charcot-Marie-Tooth disease, type 2B1,610140~Heart-hand syndrome, Slovenian type,613205~Muscular dystrophy, congenital,616516~Emery-Dreifuss muscular dystrophy 3, AR,		SM01391:SM01391,	3D-structure,Acetylation,Alternative splicing,Cardiomyopathy,Charcot-Marie-Tooth disease,Coiled coil,Complete proteome,Congenital muscular dystrophy,Direct protein sequencing,Disease mutation,Emery-Dreifuss muscular dystrophy,Intermediate filament,Isopeptide bond,Limb-girdle muscular dystrophy,Lipoprotein,Methylation,Neurodegeneration,Neuropathy,Nucleus,Phosphoprotein,Polymorphism,Prenylation,Proteomics identification,Reference proteome,Ubl conjugation,	chain:Lamin-A/C,helix,lipid moiety-binding region:S-farnesyl cysteine,modified residue,mutagenesis site,region of interest:Coil 1A,region of interest:Coil 1B,region of interest:Coil 2,region of interest:Head,region of interest:Linker 1,region of interest:Linker 2,region of interest:Rod,region of interest:Tail,sequence variant,short sequence motif:Nuclear localization signal,site:Heptad change of phase,site:Stutter,splice variant,strand,turn,
204298_s_at, 215446_s_at	lysyl oxidase(LOX)	Homo sapiens				GO:0006464~cellular protein modification process,GO:0007507~heart development,GO:0030198~extracellular matrix organization,GO:0030199~collagen fibril organization,GO:0030324~lung development,GO:0035904~aorta development,GO:0042060~wound healing,GO:0042493~response to drug,GO:0048251~elastic fiber assembly,GO:0048545~response to steroid hormone,GO:0055114~oxidation-reduction process,	GO:0005576~extracellular region,GO:0005578~proteinaceous extracellular matrix,GO:0005581~collagen trimer,GO:0005615~extracellular space,GO:0005634~nucleus,	GO:0004720~protein-lysine 6-oxidase activity,GO:0005507~copper ion binding,GO:0005515~protein binding,GO:0016641~oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor,	IPR001695:Lysyl oxidase,IPR019828:Lysyl oxidase, conserved site,					Complete proteome,Copper,Disulfide bond,Glycoprotein,LTQ,Metal-binding,Oxidoreductase,Polymorphism,Proteomics identification,Reference proteome,Secreted,Signal,TPQ,	chain:Protein-lysine 6-oxidase,cross-link:Lysine tyrosylquinone (Lys-Tyr),glycosylation site:N-linked (GlcNAc...),metal ion-binding site:Copper,modified residue,region of interest:Lysyl-oxidase like,sequence conflict,sequence variant,signal peptide,
229682_at	microtubule associated protein RP/EB family member 3(MAPRE3)	Homo sapiens				GO:0007067~mitotic nuclear division,GO:0045737~positive regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045893~positive regulation of transcription, DNA-templated,GO:0051301~cell division,GO:1903033~positive regulation of microtubule plus-end binding,	GO:0005737~cytoplasm,GO:0015630~microtubule cytoskeleton,GO:0030496~midbody,GO:0035371~microtubule plus-end,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0008017~microtubule binding,GO:0042802~identical protein binding,	IPR001715:Calponin homology domain,IPR004953:EB1, C-terminal,IPR027328:Microtubule-associated protein RP/EB,					3D-structure,Acetylation,Alternative splicing,Cell cycle,Cell division,Complete proteome,Cytoplasm,Cytoskeleton,Microtubule,Mitosis,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Microtubule-associated protein RP/EB family member 3,domain:CH,domain:EB1 C-terminal,helix,modified residue,region of interest:APC-binding,region of interest:DCTN1-binding,sequence conflict,splice variant,turn,
225673_at	myeloid associated differentiation marker(MYADM)	Homo sapiens				GO:0001933~negative regulation of protein phosphorylation,GO:0010629~negative regulation of gene expression,GO:0010810~regulation of cell-substrate adhesion,GO:0030335~positive regulation of cell migration,GO:0030837~negative regulation of actin filament polymerization,GO:0031579~membrane raft organization,GO:0034115~negative regulation of heterotypic cell-cell adhesion,GO:0045217~cell-cell junction maintenance,GO:0061028~establishment of endothelial barrier,GO:0072661~protein targeting to plasma membrane,GO:0090038~negative regulation of protein kinase C signaling,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,	GO:0001726~ruffle,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0016021~integral component of membrane,GO:0030864~cortical actin cytoskeleton,GO:0045121~membrane raft,GO:0070062~extracellular exosome,		IPR008253:Marvel,					Complete proteome,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,Repeat,Transmembrane,Transmembrane helix,	chain:Myeloid-associated differentiation marker,domain:MARVEL 1,domain:MARVEL 2,modified residue,sequence conflict,transmembrane region,
205204_at	neuromedin B(NMB)	Homo sapiens				GO:0007165~signal transduction,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007218~neuropeptide signaling pathway,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0042593~glucose homeostasis,GO:0046887~positive regulation of hormone secretion,GO:0046888~negative regulation of hormone secretion,GO:0050482~arachidonic acid secretion,	GO:0005576~extracellular region,GO:0043005~neuron projection,	GO:0005179~hormone activity,GO:0005515~protein binding,GO:0031710~neuromedin B receptor binding,	IPR000874:Bombesin/neuromedin-B/ranatensin peptide family,					3D-structure,Alternative splicing,Amidation,Cleavage on pair of basic residues,Complete proteome,Polymorphism,Reference proteome,Secreted,Signal,	helix,modified residue,peptide:Neuromedin-B,peptide:Neuromedin-B-32,sequence conflict,sequence variant,signal peptide,splice variant,
231656_x_at	oxysterol binding protein like 10(OSBPL10)	Homo sapiens				GO:0006629~lipid metabolic process,GO:0006869~lipid transport,	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,	GO:0001786~phosphatidylserine binding,GO:0015485~cholesterol binding,	IPR000648:Oxysterol-binding protein,IPR001849:Pleckstrin homology domain,IPR011993:Pleckstrin homology-like domain,IPR018494:Oxysterol-binding protein, conserved site,				SM00233:PH,	Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Lipid biosynthesis,Lipid metabolism,Lipid transport,Lipid-binding,Methylation,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:Oxysterol-binding protein-related protein 10,domain:PH,modified residue,sequence variant,
215671_at, 203708_at	phosphodiesterase 4B(PDE4B)	Homo sapiens				GO:0001780~neutrophil homeostasis,GO:0006198~cAMP catabolic process,GO:0007165~signal transduction,GO:0030593~neutrophil chemotaxis,GO:0032729~positive regulation of interferon-gamma production,GO:0032743~positive regulation of interleukin-2 production,GO:0035690~cellular response to drug,GO:0050852~T cell receptor signaling pathway,GO:0050900~leukocyte migration,GO:0071222~cellular response to lipopolysaccharide,GO:0071872~cellular response to epinephrine stimulus,GO:0086004~regulation of cardiac muscle cell contraction,GO:1901841~regulation of high voltage-gated calcium channel activity,GO:1901898~negative regulation of relaxation of cardiac muscle,	GO:0000930~gamma-tubulin complex,GO:0005813~centrosome,GO:0005829~cytosol,GO:0005891~voltage-gated calcium channel complex,GO:0008021~synaptic vesicle,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0030018~Z disc,GO:0043197~dendritic spine,GO:0071944~cell periphery,	GO:0004114~3',5'-cyclic-nucleotide phosphodiesterase activity,GO:0004115~3',5'-cyclic-AMP phosphodiesterase activity,GO:0030552~cAMP binding,GO:0044325~ion channel binding,GO:0046872~metal ion binding,	IPR002073:3'5'-cyclic nucleotide phosphodiesterase, catalytic domain,IPR003607:HD/PDEase domain,IPR023088:3'5'-cyclic nucleotide phosphodiesterase,IPR023174:3'5'-cyclic nucleotide phosphodiesterase, conserved site,	hsa00230:Purine metabolism,hsa04024:cAMP signaling pathway,hsa05032:Morphine addiction,			SM00471:HDc,	3D-structure,Alternative splicing,cAMP,Complete proteome,Hydrolase,Metal-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	active site:Proton donor,binding site:cAMP,chain:cAMP-specific 3',5'-cyclic phosphodiesterase 4B,helix,metal ion-binding site:Divalent metal cation 1,metal ion-binding site:Divalent metal cation 2,modified residue,nucleotide phosphate-binding region:cAMP,sequence variant,site:Binds AMP, but not cAMP,splice variant,strand,turn,
209875_s_at	secreted phosphoprotein 1(SPP1)	Homo sapiens		h_npp1Pathway:Regulators of Bone Mineralization,		GO:0001503~ossification,GO:0001649~osteoblast differentiation,GO:0006954~inflammatory response,GO:0007155~cell adhesion,GO:0007566~embryo implantation,GO:0022617~extracellular matrix disassembly,GO:0030198~extracellular matrix organization,GO:0031214~biomineral tissue development,GO:0033280~response to vitamin D,GO:0045780~positive regulation of bone resorption,GO:0046697~decidualization,GO:0048545~response to steroid hormone,GO:0048685~negative regulation of collateral sprouting of intact axon in response to injury,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0031988~membrane-bounded vesicle,GO:0042995~cell projection,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0050840~extracellular matrix binding,	IPR002038:Osteopontin,IPR019841:Osteopontin, conserved site,	hsa04151:PI3K-Akt signaling pathway,hsa04510:Focal adhesion,hsa04512:ECM-receptor interaction,hsa04620:Toll-like receptor signaling pathway,			SM00017:OSTEO,	3D-structure,Alternative splicing,Biomineralization,Cell adhesion,Complete proteome,Cytokine,Direct protein sequencing,Glycoprotein,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Secreted,Sialic acid,Signal,	chain:Osteopontin,glycosylation site:N-linked (GlcNAc...),glycosylation site:O-linked (GalNAc...),modified residue,sequence conflict,sequence variant,short sequence motif:Cell attachment site,signal peptide,splice variant,
229269_x_at	single stranded DNA binding protein 4(SSBP4)	Homo sapiens				GO:0006366~transcription from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0016021~integral component of membrane,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003697~single-stranded DNA binding,GO:0005515~protein binding,	IPR006594:LisH dimerisation motif,IPR008116:Sequence-specific single-strand DNA-binding protein,				SM00667:LisH,	Acetylation,Alternative splicing,Complete proteome,DNA-binding,Membrane,Methylation,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Single-stranded DNA-binding protein 4,compositionally biased region:Pro-rich,domain:LisH,modified residue,
1552803_a_at	stathmin 1(STMN1)	Homo sapiens		h_stathminPathway:Stathmin and breast cancer resistance to antimicrotubule agents,		GO:0000281~mitotic cytokinesis,GO:0007019~microtubule depolymerization,GO:0007052~mitotic spindle organization,GO:0007165~signal transduction,GO:0007409~axonogenesis,GO:0007420~brain development,GO:0009615~response to virus,GO:0031110~regulation of microtubule polymerization or depolymerization,GO:0031115~negative regulation of microtubule polymerization,GO:0031175~neuron projection development,GO:0035556~intracellular signal transduction,GO:0051272~positive regulation of cellular component movement,GO:0051493~regulation of cytoskeleton organization,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005874~microtubule,GO:0016020~membrane,GO:0043005~neuron projection,GO:0070062~extracellular exosome,	GO:0004871~signal transducer activity,GO:0005515~protein binding,GO:0015631~tubulin binding,	IPR000956:Stathmin family,	hsa04010:MAPK signaling pathway,hsa05206:MicroRNAs in cancer,		PIRSF002285:Op18/stathmin,		Acetylation,Alternative splicing,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Developmental protein,Differentiation,Direct protein sequencing,Methylation,Microtubule,Neurogenesis,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Stathmin,chain:Transmembrane protein C1orf215,modified residue,sequence conflict,sequence variant,transmembrane region,
218132_s_at	tRNA splicing endonuclease subunit 34(TSEN34)	Homo sapiens				GO:0000379~tRNA-type intron splice site recognition and cleavage,GO:0006388~tRNA splicing, via endonucleolytic cleavage and ligation,GO:0006397~mRNA processing,GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic,	GO:0000214~tRNA-intron endonuclease complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,	GO:0000213~tRNA-intron endonuclease activity,GO:0003676~nucleic acid binding,GO:0016829~lyase activity,	IPR006676:tRNA-splicing endonuclease,IPR006677:tRNA intron endonuclease, catalytic domain-like,IPR011856:tRNA endonuclease-like domain,IPR016690:tRNA-splicing endonuclease, SEN34 subunit,		612390~Pontocerebellar hypoplasia type 2C,	PIRSF017250:tRNA-splicing endonuclease, SEN34 subunit,		Complete proteome,Disease mutation,Endonuclease,Hydrolase,Lyase,mRNA processing,Neurodegeneration,Nuclease,Nucleus,Polymorphism,Pontocerebellar hypoplasia,Proteomics identification,Reference proteome,tRNA processing,	chain:tRNA-splicing endonuclease subunit Sen34,modified residue,sequence variant,
210323_at	tektin 2(TEKT2)	Homo sapiens				GO:0030317~sperm motility,GO:0036159~inner dynein arm assembly,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005874~microtubule,GO:0031514~motile cilium,		IPR000435:Tektin,					Cell projection,Cilium,Cilium biogenesis/degradation,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Flagellum,Microtubule,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:Tektin-2,sequence conflict,sequence variant,
227972_at	torsin family 2 member A(TOR2A)	Homo sapiens				GO:0051085~chaperone mediated protein folding requiring cofactor,GO:0051260~protein homooligomerization,	GO:0005576~extracellular region,GO:0005788~endoplasmic reticulum lumen,	GO:0005524~ATP binding,	IPR001270:Chaperonin ClpA/B,IPR003593:AAA+ ATPase domain,IPR010448:Torsin,IPR017378:Torsin, subgroup,IPR027417:P-loop containing nucleoside triphosphate hydrolase,			PIRSF038079:torsin,	SM00382:AAA,	Alternative splicing,Amidation,ATP-binding,Cleavage on pair of basic residues,Complete proteome,Endoplasmic reticulum,Glycoprotein,Hormone,Nucleotide-binding,Polymorphism,Reference proteome,Secreted,Signal,	chain:Prosalusin,chain:Torsin-2A,glycosylation site:N-linked (GlcNAc...),modified residue,nucleotide phosphate-binding region:ATP,peptide:Salusin-alpha,peptide:Salusin-beta,sequence variant,signal peptide,splice variant,
225912_at	tumor protein p53 inducible nuclear protein 1(TP53INP1)	Homo sapiens				GO:0000045~autophagosome assembly,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006915~apoptotic process,GO:0006950~response to stress,GO:0007050~cell cycle arrest,GO:0008285~negative regulation of cell proliferation,GO:0009408~response to heat,GO:0010506~regulation of autophagy,GO:0010508~positive regulation of autophagy,GO:0010629~negative regulation of gene expression,GO:0030336~negative regulation of cell migration,GO:0034644~cellular response to UV,GO:0042981~regulation of apoptotic process,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048102~autophagic cell death,GO:0048147~negative regulation of fibroblast proliferation,GO:0071361~cellular response to ethanol,GO:0071447~cellular response to hydroperoxide,GO:0072703~cellular response to methyl methanesulfonate,GO:0098869~cellular oxidant detoxification,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1904761~negative regulation of myofibroblast differentiation,GO:2001235~positive regulation of apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005776~autophagosome,GO:0005829~cytosol,GO:0016605~PML body,GO:0031410~cytoplasmic vesicle,	GO:0005515~protein binding,GO:0016209~antioxidant activity,		hsa05166:HTLV-I infection,				Activator,Alternative splicing,Antioxidant,Apoptosis,Autophagy,Complete proteome,Cytoplasm,Cytoplasmic vesicle,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,Tumor suppressor,	chain:Tumor protein p53-inducible nuclear protein 1,compositionally biased region:Glu-rich,compositionally biased region:Poly-Ser,sequence variant,splice variant,
